,SNR,Signal,Noise
Spettro_1,6.713,1.139,0.170
Spettro_2,19.300,4.846,0.251
Spettro_3,64.860,21.168,0.326
Spettro_4,159.915,100.780,0.630
Spettro_5,49.486,11.543,0.233
Spettro_6,19.170,4.799,0.250
Spettro_7,21.914,5.429,0.248
Spettro_8,13.055,10.141,0.777
Spettro_9,2.578,19.114,7.414
Spettro_10,21.074,9.301,0.441
Spettro_11,33.943,17.030,0.502
Spettro_12,72.743,86.036,1.183
Spettro_13,83.960,153.066,1.823
Spettro_14,42.689,116.827,2.737
Spettro_15,189.602,213.526,1.126
Spettro_16,84.251,32.731,0.388
Spettro_17,20.735,6.571,0.317
Spettro_18,54.653,11.864,0.217
Spettro_19,92.931,25.432,0.274
Spettro_20,49.047,7.200,0.147
