,SNR,Signal,Noise
Spettro_1,0.430,0.076,0.177
Spettro_2,5.767,0.998,0.173
Spettro_3,43.219,12.686,0.294
Spettro_4,80.127,34.913,0.436
Spettro_5,12.227,2.164,0.177
Spettro_6,4.574,0.886,0.194
Spettro_7,1.285,0.490,0.381
Spettro_8,2.987,1.248,0.418
Spettro_9,-0.532,-0.458,0.860
Spettro_10,4.345,1.362,0.313
Spettro_11,9.694,3.884,0.401
Spettro_12,22.524,14.661,0.651
Spettro_13,32.181,28.406,0.883
Spettro_14,19.049,18.138,0.952
Spettro_15,73.725,31.248,0.424
Spettro_16,12.453,4.094,0.329
Spettro_17,2.996,0.938,0.313
Spettro_18,11.116,3.141,0.283
Spettro_19,17.491,4.575,0.262
Spettro_20,3.808,1.167,0.307
