,SNR,Signal,Noise
Spettro_1,2.074,0.352,0.170
Spettro_2,4.777,1.095,0.229
Spettro_3,17.166,6.137,0.358
Spettro_4,16.827,10.605,0.630
Spettro_5,14.138,3.613,0.256
Spettro_6,8.059,1.842,0.229
Spettro_7,8.704,1.969,0.226
Spettro_8,5.351,4.554,0.851
Spettro_9,0.952,6.446,6.768
Spettro_10,9.783,4.730,0.483
Spettro_11,15.468,8.501,0.550
Spettro_12,27.177,29.342,1.080
Spettro_13,29.295,53.406,1.823
Spettro_14,17.316,51.912,2.998
Spettro_15,62.723,64.483,1.028
Spettro_16,27.027,11.502,0.426
Spettro_17,10.831,3.133,0.289
Spettro_18,16.015,3.477,0.217
Spettro_19,19.145,5.739,0.300
Spettro_20,4.423,0.649,0.147
