,SNR,Signal,Noise
Spettro_1,1.353,0.260,0.193
Spettro_2,9.753,1.486,0.152
Spettro_3,1.856,2.801,1.509
Spettro_4,1.125,3.559,3.164
Spettro_5,12.209,2.652,0.217
Spettro_6,8.984,1.457,0.162
Spettro_7,11.309,1.290,0.114
Spettro_8,11.483,3.345,0.291
Spettro_9,-0.250,-0.160,0.642
Spettro_10,12.757,2.431,0.191
Spettro_11,37.569,5.429,0.144
Spettro_12,42.081,14.983,0.356
Spettro_13,68.326,26.542,0.388
Spettro_14,23.372,20.344,0.870
Spettro_15,119.412,30.509,0.255
Spettro_16,36.540,7.345,0.201
Spettro_17,12.226,2.196,0.180
Spettro_18,24.761,3.083,0.125
Spettro_19,28.249,4.939,0.175
Spettro_20,10.027,1.709,0.170
