,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,1.938,0.021,0.011
Spettro_4,-0.120,-0.003,0.028
Spettro_5,2.928,0.066,0.023
Spettro_6,9.809,0.268,0.027
Spettro_7,43.714,1.501,0.034
Spettro_8,128.084,3.669,0.029
Spettro_9,22.023,0.799,0.036
Spettro_10,28.049,1.654,0.059
Spettro_11,21.486,2.523,0.117
Spettro_12,30.882,2.754,0.089
Spettro_13,52.467,2.581,0.049
Spettro_14,172.149,6.867,0.040
Spettro_15,62.855,2.055,0.033
Spettro_16,44.261,1.860,0.042
Spettro_17,73.553,3.877,0.053
Spettro_18,22.995,0.570,0.025
Spettro_19,12.703,0.442,0.035
Spettro_20,15.138,0.288,0.019
