,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,4.777,0.096,0.020
Spettro_4,9.032,0.062,0.007
Spettro_5,11.275,0.139,0.012
Spettro_6,11.304,0.245,0.022
Spettro_7,23.164,1.164,0.050
Spettro_8,31.002,1.078,0.035
Spettro_9,12.520,0.679,0.054
Spettro_10,8.777,1.573,0.179
Spettro_11,9.723,2.426,0.249
Spettro_12,12.302,1.908,0.155
Spettro_13,14.648,1.257,0.086
Spettro_14,33.769,2.362,0.070
Spettro_15,13.865,0.596,0.043
Spettro_16,20.056,1.063,0.053
Spettro_17,17.848,0.635,0.036
Spettro_18,8.431,0.184,0.022
Spettro_19,7.399,0.133,0.018
Spettro_20,3.873,0.068,0.018
