,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,0.502,0.010,0.020
Spettro_4,-0.271,-0.008,0.030
Spettro_5,0.769,0.015,0.019
Spettro_6,2.282,0.082,0.036
Spettro_7,20.358,0.435,0.021
Spettro_8,20.965,0.923,0.044
Spettro_9,3.640,0.144,0.040
Spettro_10,3.321,0.156,0.047
Spettro_11,2.095,0.198,0.095
Spettro_12,3.446,0.288,0.084
Spettro_13,6.485,0.391,0.060
Spettro_14,19.749,0.973,0.049
Spettro_15,16.103,0.408,0.025
Spettro_16,27.754,0.914,0.033
Spettro_17,60.676,1.961,0.032
Spettro_18,11.640,0.246,0.021
Spettro_19,7.079,0.182,0.026
Spettro_20,4.384,0.100,0.023
