,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,1.102,0.020,0.018
Spettro_4,3.763,0.054,0.014
Spettro_5,13.104,0.147,0.011
Spettro_6,16.378,0.377,0.023
Spettro_7,100.326,1.625,0.016
Spettro_8,32.784,1.197,0.037
Spettro_9,32.375,0.583,0.018
Spettro_10,25.471,1.395,0.055
Spettro_11,48.031,2.022,0.042
Spettro_12,49.907,1.840,0.037
Spettro_13,49.387,1.400,0.028
Spettro_14,88.645,2.427,0.027
Spettro_15,53.179,0.777,0.015
Spettro_16,53.707,1.734,0.032
Spettro_17,40.153,0.902,0.022
Spettro_18,13.134,0.238,0.018
Spettro_19,15.474,0.255,0.017
Spettro_20,8.778,0.152,0.017
