,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,0.708,0.014,0.020
Spettro_3,2.406,0.085,0.036
Spettro_4,1.821,0.049,0.027
Spettro_5,-0.082,-0.002,0.030
Spettro_6,0.437,0.014,0.032
Spettro_7,0.331,0.010,0.031
Spettro_8,-0.067,-0.002,0.031
Spettro_9,1.857,0.073,0.039
Spettro_10,1.330,0.056,0.042
Spettro_11,1.101,0.075,0.068
Spettro_12,1.290,0.060,0.046
Spettro_13,0.602,0.019,0.032
Spettro_14,0.976,0.032,0.032
Spettro_15,0.385,0.010,0.027
Spettro_16,-0.199,-0.006,0.031
Spettro_17,3.705,0.133,0.036
Spettro_18,3.864,0.115,0.030
Spettro_19,1.281,0.020,0.016
Spettro_20,1.264,0.021,0.017
