,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,51.601,0.467,0.009
Spettro_3,36.017,1.264,0.035
Spettro_4,36.652,1.189,0.032
Spettro_5,10.786,0.426,0.040
Spettro_6,14.966,0.530,0.035
Spettro_7,39.714,1.239,0.031
Spettro_8,42.015,1.958,0.047
Spettro_9,14.562,0.900,0.062
Spettro_10,29.083,2.115,0.073
Spettro_11,21.114,2.671,0.126
Spettro_12,26.326,3.793,0.144
Spettro_13,21.978,1.906,0.087
Spettro_14,41.175,2.727,0.066
Spettro_15,18.872,0.706,0.037
Spettro_16,6.668,0.334,0.050
Spettro_17,44.420,2.118,0.048
Spettro_18,56.235,3.625,0.064
Spettro_19,21.860,1.144,0.052
Spettro_20,10.184,0.352,0.035
