,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,12.151,0.182,0.015
Spettro_3,12.436,0.263,0.021
Spettro_4,1.337,0.026,0.019
Spettro_5,-0.228,-0.004,0.019
Spettro_6,6.250,0.126,0.020
Spettro_7,10.635,0.273,0.026
Spettro_8,3.211,0.083,0.026
Spettro_9,3.468,0.121,0.035
Spettro_10,5.288,0.265,0.050
Spettro_11,10.373,0.376,0.036
Spettro_12,12.685,0.310,0.024
Spettro_13,7.426,0.316,0.043
Spettro_14,5.716,0.180,0.031
Spettro_15,1.125,0.023,0.020
Spettro_16,4.143,0.117,0.028
Spettro_17,23.245,0.728,0.031
Spettro_18,7.158,0.297,0.042
Spettro_19,1.959,0.067,0.034
Spettro_20,0.170,0.005,0.032
