,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,21.074,0.191,0.009
Spettro_3,14.391,0.461,0.032
Spettro_4,15.426,0.457,0.030
Spettro_5,5.245,0.189,0.036
Spettro_6,9.307,0.301,0.032
Spettro_7,16.185,0.461,0.028
Spettro_8,17.250,0.734,0.043
Spettro_9,7.089,0.438,0.062
Spettro_10,9.302,0.741,0.080
Spettro_11,8.310,1.051,0.126
Spettro_12,10.457,1.375,0.132
Spettro_13,7.874,0.748,0.095
Spettro_14,12.524,0.757,0.060
Spettro_15,8.737,0.358,0.041
Spettro_16,5.209,0.238,0.046
Spettro_17,16.594,0.867,0.052
Spettro_18,19.111,1.350,0.071
Spettro_19,9.522,0.455,0.048
Spettro_20,4.493,0.155,0.035
