,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,0.872,0.018,0.020
Spettro_3,1.331,0.043,0.032
Spettro_4,0.644,0.016,0.025
Spettro_5,-0.928,-0.026,0.028
Spettro_6,0.175,0.006,0.032
Spettro_7,-0.734,-0.022,0.031
Spettro_8,0.549,0.017,0.031
Spettro_9,0.522,0.020,0.039
Spettro_10,0.003,0.000,0.046
Spettro_11,1.657,0.103,0.062
Spettro_12,1.777,0.082,0.046
Spettro_13,-0.544,-0.018,0.032
Spettro_14,-0.694,-0.022,0.032
Spettro_15,0.523,0.016,0.030
Spettro_16,0.332,0.010,0.031
Spettro_17,1.318,0.052,0.039
Spettro_18,3.021,0.099,0.033
Spettro_19,1.697,0.027,0.016
Spettro_20,0.790,0.013,0.017
