,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,3.205,0.046,0.014
Spettro_3,13.174,0.254,0.019
Spettro_4,11.803,0.219,0.019
Spettro_5,6.825,0.101,0.015
Spettro_6,5.942,0.091,0.015
Spettro_7,9.122,0.176,0.019
Spettro_8,12.186,0.219,0.018
Spettro_9,5.226,0.167,0.032
Spettro_10,8.892,0.268,0.030
Spettro_11,7.718,0.289,0.037
Spettro_12,7.102,0.302,0.042
Spettro_13,4.787,0.134,0.028
Spettro_14,7.881,0.236,0.030
Spettro_15,6.203,0.157,0.025
Spettro_16,4.705,0.089,0.019
Spettro_17,18.225,0.328,0.018
Spettro_18,66.268,0.636,0.010
Spettro_19,12.478,0.240,0.019
Spettro_20,4.461,0.085,0.019
