Line,Flux,Error flux
Hgamma,0.14388605354079453,0.03153283432539969
Hbeta,0.37024714414364496,0.02924549966061313
Halpha,1.4037014058474306,0.04723089115662044
[SII]6716,0.28794033150085374,0.011130420146419531
[SII]6731,0.17470225909224568,0.008233704036003165
HeII4687,0.0,0.00791772192368285
HeI5876,0.050629542359020195,0.008820928356658505
[OIII]5007_d,0.13405820791782574,0.008497507936771823
[OI]6300_d,0.02929477208912339,0.0066356250506635645
[NII]6583_d,0.6736921974301492,0.0248702073966217
