Line,Flux,Error flux
Hgamma,0.1275118656435016,0.023530614755172374
Hbeta,0.49075008294817934,0.057432378805733084
Halpha,2.575795530391346,0.035660005383901926
[SII]6716,0.3769918237362652,0.03327871509278401
[SII]6731,0.2709058147111222,0.011726913799812385
HeII4687,0.055631385725923625,0.009755670288035225
HeI5876,0.01560556664498665,0.023433747950086403
[OIII]5007_d,0.17768545874362446,0.02056672631212142
[OI]6300_d,0.0794676370585217,0.021570703908836513
[NII]6583_d,1.230838510839712,0.029381198978103797
