,SNR,Signal,Noise
Spettro_1,1.027,0.024,0.024
Spettro_2,2.341,0.056,0.024
Spettro_3,4.990,0.147,0.029
Spettro_4,14.427,0.395,0.027
Spettro_5,12.596,0.344,0.027
Spettro_6,26.294,0.783,0.030
Spettro_7,81.972,3.462,0.042
Spettro_8,51.913,1.127,0.022
Spettro_9,19.748,0.483,0.024
Spettro_10,12.923,0.370,0.029
Spettro_11,3.020,0.091,0.030
Spettro_12,2.351,0.096,0.041
Spettro_13,2.552,0.134,0.052
Spettro_14,13.239,0.410,0.031
Spettro_15,18.384,0.531,0.029
Spettro_16,3.530,0.095,0.027
Spettro_17,0.791,0.023,0.030
Spettro_18,0.893,0.024,0.026
Spettro_19,2.638,0.036,0.014
Spettro_20,0.686,0.013,0.019
