,SNR,Signal,Noise
Spettro_1,6.848,0.227,0.033
Spettro_2,13.829,0.327,0.024
Spettro_3,62.564,1.747,0.028
Spettro_4,150.603,4.527,0.030
Spettro_5,241.285,5.898,0.024
Spettro_6,238.388,8.748,0.037
Spettro_7,1021.125,65.716,0.064
Spettro_8,476.305,22.311,0.047
Spettro_9,103.602,4.115,0.040
Spettro_10,23.575,1.144,0.049
Spettro_11,5.368,0.195,0.036
Spettro_12,1.975,0.094,0.047
Spettro_13,5.192,0.262,0.050
Spettro_14,23.523,1.003,0.043
Spettro_15,42.677,1.285,0.030
Spettro_16,5.469,0.231,0.042
Spettro_17,4.145,0.107,0.026
Spettro_18,-0.740,-0.027,0.036
Spettro_19,2.304,0.063,0.027
Spettro_20,3.231,0.113,0.035
