,SNR,Signal,Noise
Spettro_1,15.325,0.219,0.014
Spettro_2,35.332,0.639,0.018
Spettro_3,98.246,2.098,0.021
Spettro_4,216.755,4.123,0.019
Spettro_5,231.710,4.021,0.017
Spettro_6,446.544,9.154,0.020
Spettro_7,2360.787,61.566,0.026
Spettro_8,986.863,15.337,0.016
Spettro_9,197.430,3.782,0.019
Spettro_10,107.131,2.057,0.019
Spettro_11,24.881,0.445,0.018
Spettro_12,19.801,0.660,0.033
Spettro_13,26.895,0.740,0.028
Spettro_14,189.830,3.507,0.018
Spettro_15,262.461,4.573,0.017
Spettro_16,38.433,0.670,0.017
Spettro_17,13.807,0.284,0.021
Spettro_18,11.136,0.299,0.027
Spettro_19,44.674,0.445,0.010
Spettro_20,24.814,0.301,0.012
Spettro_21,30.667,0.437,0.014
Spettro_22,33.608,0.502,0.015
Spettro_23,26.628,0.377,0.014
Spettro_24,12.596,0.292,0.023
