,SNR,Signal,Noise
Spettro_1,3.411,0.068,0.020
Spettro_2,7.511,0.110,0.015
Spettro_3,24.772,0.598,0.024
Spettro_4,77.192,1.349,0.017
Spettro_5,53.779,1.593,0.030
Spettro_6,97.522,2.575,0.026
Spettro_7,558.974,16.272,0.029
Spettro_8,205.288,5.758,0.028
Spettro_9,62.685,1.677,0.027
Spettro_10,24.651,0.535,0.022
Spettro_11,1.159,0.041,0.035
Spettro_12,4.451,-0.039,0.031
Spettro_13,-1.952,-0.062,0.032
Spettro_14,25.594,0.474,0.019
Spettro_15,45.286,1.105,0.024
Spettro_16,6.495,0.150,0.023
Spettro_17,3.850,0.061,0.016
Spettro_18,2.472,0.038,0.016
Spettro_19,6.010,0.087,0.015
Spettro_20,4.454,0.089,0.020
Spettro_21,3.723,0.083,0.022
Spettro_22,7.374,0.109,0.015
Spettro_23,2.036,0.039,0.019
Spettro_24,6.397,0.099,0.015
