,SNR,Signal,Noise
Spettro_1,5.165,0.068,0.013
Spettro_2,18.592,0.151,0.008
Spettro_3,19.777,0.273,0.014
Spettro_4,57.922,0.549,0.009
Spettro_5,24.676,0.498,0.020
Spettro_6,69.533,0.985,0.014
Spettro_7,210.902,3.295,0.016
Spettro_8,97.483,1.080,0.011
Spettro_9,33.863,0.519,0.015
Spettro_10,30.137,0.408,0.014
Spettro_11,9.674,0.145,0.015
Spettro_12,11.449,0.208,0.018
Spettro_13,7.249,0.179,0.025
Spettro_14,41.310,0.496,0.012
Spettro_15,33.482,0.568,0.017
Spettro_16,7.983,0.125,0.016
Spettro_17,3.488,0.054,0.015
Spettro_18,5.335,0.065,0.012
Spettro_19,4.459,0.077,0.017
Spettro_20,4.331,0.063,0.015
Spettro_21,7.784,0.099,0.013
Spettro_22,9.707,0.119,0.012
Spettro_23,15.233,0.123,0.008
Spettro_24,5.664,0.077,0.014
