,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,0.358,0.019,0.054
Spettro_5,3.662,0.172,0.047
Spettro_6,14.396,0.753,0.052
Spettro_7,38.370,2.225,0.058
Spettro_8,41.428,4.163,0.100
Spettro_9,33.364,2.878,0.086
Spettro_10,13.756,0.840,0.061
Spettro_11,5.589,0.472,0.084
Spettro_12,7.735,1.458,0.188
Spettro_13,4.663,0.854,0.183
Spettro_14,4.913,0.320,0.065
Spettro_15,6.085,0.484,0.080
Spettro_16,1.381,0.120,0.087
Spettro_17,2.307,0.120,0.052
Spettro_18,2.382,0.129,0.054
Spettro_19,,,
Spettro_20,,,
