,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,28.782,0.935,0.032
Spettro_5,35.069,1.371,0.039
Spettro_6,111.751,4.851,0.043
Spettro_7,324.760,23.109,0.071
Spettro_8,1165.221,50.772,0.044
Spettro_9,393.492,22.544,0.057
Spettro_10,91.900,5.089,0.055
Spettro_11,60.252,3.011,0.050
Spettro_12,136.662,9.823,0.072
Spettro_13,122.995,5.527,0.045
Spettro_14,34.765,1.613,0.046
Spettro_15,90.758,2.711,0.030
Spettro_16,20.653,1.155,0.056
Spettro_17,17.148,0.759,0.044
Spettro_18,7.360,0.265,0.036
Spettro_19,,,
Spettro_20,,,
