,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,3.206,0.340,0.106
Spettro_5,11.395,0.454,0.040
Spettro_6,12.002,1.321,0.110
Spettro_7,64.457,6.560,0.102
Spettro_8,168.430,11.620,0.069
Spettro_9,73.540,5.225,0.071
Spettro_10,10.647,1.006,0.094
Spettro_11,7.682,0.629,0.082
Spettro_12,26.548,2.102,0.079
Spettro_13,9.933,0.998,0.100
Spettro_14,4.422,0.409,0.093
Spettro_15,16.750,0.612,0.037
Spettro_16,2.695,0.239,0.089
Spettro_17,2.219,0.144,0.065
Spettro_18,-1.161,-0.065,0.056
Spettro_19,,,
Spettro_20,,,
