,SNR,Signal,Noise
Spettro_1,-0.334,-0.017,0.050
Spettro_2,-0.744,-0.034,0.045
Spettro_3,3.809,0.215,0.056
Spettro_4,6.961,0.367,0.053
Spettro_5,30.622,1.158,0.038
Spettro_6,57.343,3.211,0.056
Spettro_7,158.042,9.103,0.058
Spettro_8,87.319,5.435,0.062
Spettro_9,55.244,3.911,0.071
Spettro_10,15.814,1.122,0.071
Spettro_11,17.150,0.913,0.053
Spettro_12,20.092,1.624,0.081
Spettro_13,64.293,5.593,0.087
Spettro_14,15.740,1.026,0.065
Spettro_15,13.136,0.652,0.050
Spettro_16,11.906,0.802,0.067
Spettro_17,5.771,0.448,0.078
Spettro_18,5.280,0.273,0.052
Spettro_19,3.530,0.228,0.065
Spettro_20,1.711,0.122,0.071
