,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,2.869,0.085,0.030
Spettro_5,4.058,0.159,0.039
Spettro_6,8.513,0.370,0.043
Spettro_7,23.956,1.556,0.065
Spettro_8,86.165,3.427,0.040
Spettro_9,37.090,1.940,0.052
Spettro_10,7.717,0.427,0.055
Spettro_11,7.346,0.367,0.050
Spettro_12,17.618,1.266,0.072
Spettro_13,16.903,0.832,0.049
Spettro_14,3.850,0.179,0.046
Spettro_15,9.663,0.316,0.033
Spettro_16,4.231,0.237,0.056
Spettro_17,3.620,0.146,0.040
Spettro_18,0.696,0.025,0.036
Spettro_19,,,
Spettro_20,,,
