,SNR,Signal,Noise
Spettro_1,0.810,0.092,0.113
Spettro_2,-0.235,-0.020,0.083
Spettro_3,5.935,0.483,0.081
Spettro_4,3.270,0.460,0.141
Spettro_5,14.541,1.442,0.099
Spettro_6,60.582,4.757,0.079
Spettro_7,142.989,14.000,0.098
Spettro_8,35.620,5.349,0.150
Spettro_9,28.366,2.106,0.074
Spettro_10,5.897,0.595,0.101
Spettro_11,1.875,0.168,0.090
Spettro_12,5.347,0.606,0.113
Spettro_13,9.198,1.852,0.201
Spettro_14,1.766,0.116,0.066
Spettro_15,2.014,0.220,0.109
Spettro_16,4.589,0.353,0.077
Spettro_17,1.895,0.237,0.125
Spettro_18,1.259,0.134,0.106
Spettro_19,-0.360,-0.025,0.071
Spettro_20,-0.649,-0.047,0.073
