,SNR,Signal,Noise
Spettro_1,-1.279,-0.076,0.059
Spettro_2,-0.448,-0.025,0.056
Spettro_3,2.805,0.183,0.065
Spettro_4,0.343,0.033,0.095
Spettro_5,2.105,0.376,0.179
Spettro_6,1.599,0.782,0.489
Spettro_7,1.601,1.887,1.179
Spettro_8,1.712,1.385,0.809
Spettro_9,1.639,0.958,0.584
Spettro_10,1.950,0.302,0.155
Spettro_11,0.867,0.127,0.146
Spettro_12,0.264,0.049,0.186
Spettro_13,0.658,0.397,0.603
Spettro_14,-1.533,-0.205,0.134
Spettro_15,0.477,0.046,0.097
Spettro_16,0.435,0.055,0.126
Spettro_17,-1.871,-0.214,0.114
Spettro_18,-0.605,-0.045,0.075
Spettro_19,-0.036,-0.002,0.053
Spettro_20,0.065,0.003,0.053
