,SNR,Signal,Noise
Spettro_1,0.509,0.027,0.053
Spettro_2,1.552,0.086,0.055
Spettro_3,0.514,0.036,0.070
Spettro_4,19.945,0.971,0.049
Spettro_5,23.545,1.477,0.063
Spettro_6,70.176,5.298,0.076
Spettro_7,282.194,23.507,0.083
Spettro_8,1021.448,51.483,0.050
Spettro_9,309.836,22.821,0.074
Spettro_10,74.488,5.069,0.068
Spettro_11,42.334,3.308,0.078
Spettro_12,118.612,10.518,0.089
Spettro_13,84.258,5.938,0.070
Spettro_14,20.017,1.602,0.080
Spettro_15,37.465,2.736,0.073
Spettro_16,15.317,1.128,0.074
Spettro_17,11.351,0.725,0.064
Spettro_18,6.545,0.352,0.054
Spettro_19,3.397,0.220,0.065
Spettro_20,1.904,0.178,0.093
