,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,4.636,0.151,0.032
Spettro_5,10.290,0.441,0.043
Spettro_6,27.596,1.312,0.048
Spettro_7,69.131,4.919,0.071
Spettro_8,241.979,10.544,0.044
Spettro_9,108.259,6.202,0.057
Spettro_10,30.222,1.528,0.051
Spettro_11,25.129,1.376,0.055
Spettro_12,58.897,4.233,0.072
Spettro_13,58.161,2.614,0.045
Spettro_14,15.800,0.733,0.046
Spettro_15,36.723,1.097,0.030
Spettro_16,9.548,0.487,0.051
Spettro_17,7.585,0.336,0.044
Spettro_18,3.755,0.135,0.036
Spettro_19,,,
Spettro_20,,,
