,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,2.860,0.147,0.051
Spettro_5,2.465,0.160,0.065
Spettro_6,6.686,0.465,0.070
Spettro_7,27.953,2.436,0.087
Spettro_8,32.430,4.435,0.137
Spettro_9,14.343,1.374,0.096
Spettro_10,4.915,0.444,0.090
Spettro_11,1.382,0.091,0.066
Spettro_12,8.367,0.779,0.093
Spettro_13,2.848,0.252,0.088
Spettro_14,1.991,0.122,0.061
Spettro_15,1.028,0.122,0.119
Spettro_16,-1.099,-0.070,0.064
Spettro_17,0.474,0.035,0.073
Spettro_18,-0.162,-0.012,0.074
Spettro_19,,,
Spettro_20,,,
