,SNR,Signal,Noise
Spettro_1,1.383,0.105,0.076
Spettro_2,0.149,0.010,0.069
Spettro_3,-0.360,-0.029,0.081
Spettro_4,-1.165,-0.095,0.082
Spettro_5,1.667,0.140,0.084
Spettro_6,2.420,0.403,0.167
Spettro_7,1.586,0.975,0.615
Spettro_8,1.399,1.867,1.335
Spettro_9,1.815,1.441,0.794
Spettro_10,0.957,0.226,0.236
Spettro_11,0.177,0.031,0.176
Spettro_12,0.275,0.164,0.598
Spettro_13,0.233,0.100,0.429
Spettro_14,0.483,0.059,0.123
Spettro_15,1.644,0.301,0.183
Spettro_16,-0.024,-0.003,0.115
Spettro_17,1.095,0.086,0.079
Spettro_18,-1.048,-0.079,0.075
Spettro_19,0.660,0.038,0.057
Spettro_20,-0.710,-0.049,0.069
