Name,Flux,Error flux
Hgamma,0.0,0.05867171758031857
Hbeta,0.2584215228524773,0.035566238799878996
Halpha,0.9388765738490067,0.016581143948669417
[SII]6716,0.10451981437860049,0.050263381478332474
[SII]6731,0.04355907491043679,0.012543490168779429
HeII4687,0.12471154879350044,0.030000433112449695
HeI5876,0.06939415439235029,0.009261210385336387
[OIII]5007_d,0.5320042603494501,0.04257523922811482
[OI]6300_d,0.017419974073659042,0.021631627027158106
[NII]6583_d,0.22267740511581507,0.03352917752907591
