Name,Flux,Error_flux
Hgamma,2.1439921796787083,4.597341910902195
Hbeta,1.3063261870293479,2.838987671034007
Halpha,6.593523999791331,1.581092279130655
[SII]6731_d1,2.5955042649837603,3.5623221025878644
[SII]6731_d2,0.04590661222862892,3.583823895081934
HeII4687,0.0,6.684501125989707
HeI5876,0.0,3.7661085261726126
[OIII]4959,4.742399064456955,1.6418469313772301
[OIII]5007,14.227197193370866,4.92554079413169
[OI]6300,0.0,3.071876260769428
[OI]6364,0.0,1.0239587535898094
[NII]6548,3.4818362995706624,0.9621950790667374
[NII]6583,10.445508898711987,2.886585237200212
