Name,Flux,Error flux
Hgamma,0.1495096486509421,0.0358602660214212
Hbeta,0.38405327563696035,0.053105887963549696
Halpha,1.0156157213034327,0.05134313889650237
[SII]6716,0.5380629123802888,0.020952567294661238
[SII]6731,0.2471370371746306,0.03590797547705682
HeII4687,0.0059912557955121536,0.024143299441353787
HeI5876,0.057776063827674855,0.015033812451404864
[OIII]5007_d,0.2925775350465538,0.02809446280357257
[OI]6300_d,0.010758638528722508,0.01646131922415814
[NII]6583_d,0.5320360747028092,0.047939832255000495
