,SNR,Signal,Noise
Spettro_1,-0.044,-0.003,0.058
Spettro_2,-2.220,-0.114,0.051
Spettro_3,1.187,0.062,0.052
Spettro_4,3.123,0.184,0.059
Spettro_5,3.024,0.193,0.064
Spettro_6,9.878,1.090,0.110
Spettro_7,55.853,3.464,0.062
Spettro_8,31.081,2.112,0.068
Spettro_9,17.458,1.332,0.076
Spettro_10,7.788,0.626,0.080
Spettro_11,9.336,0.554,0.059
Spettro_12,7.357,0.504,0.068
Spettro_13,8.768,0.377,0.043
Spettro_14,0.478,0.038,0.080
Spettro_15,-0.456,-0.028,0.062
Spettro_16,1.760,0.110,0.062
Spettro_17,-2.905,-0.159,0.055
Spettro_18,-0.190,-0.012,0.063
Spettro_19,-1.529,-0.059,0.039
Spettro_20,-1.495,-0.074,0.050
