Name,Flux,Error_flux
Hgamma,0.08393609906339142,0.07054260422820828
Hbeta,0.1461077326650057,0.05927172834256335
Halpha,0.5227322177151746,0.07358688966058521
[SII]6716,0.9619282990651292,0.2728587043807059
[SII]6731,0.0,0.20748514799703607
HeII4687,0.0,0.1432889327120334
HeI5876,0.3163370877115562,0.15790846975664594
[OIII]4959,0.06288292733775559,0.23819150195491073
[OIII]5007,0.1886487820132668,0.23819150195491073
[OI]6300,0.0,0.08808451063378889
[OI]6364,0.0,0.08808451063378889
[NII]6548,0.16731961148682156,0.19828167146302045
[NII]6583,0.5019588344604646,0.19828167146302045
