,SNR,Signal,Noise
Spettro_1,-0.306,-0.019,0.061
Spettro_2,-0.493,-0.022,0.045
Spettro_3,0.670,0.042,0.063
Spettro_4,-1.329,-0.075,0.056
Spettro_5,2.337,0.141,0.060
Spettro_6,16.017,1.401,0.087
Spettro_7,74.341,5.084,0.068
Spettro_8,41.094,2.811,0.068
Spettro_9,13.563,1.231,0.091
Spettro_10,8.567,0.716,0.084
Spettro_11,5.100,0.345,0.068
Spettro_12,6.943,0.444,0.064
Spettro_13,2.726,0.202,0.074
Spettro_14,-0.845,-0.048,0.057
Spettro_15,-0.914,-0.057,0.062
Spettro_16,2.009,0.112,0.056
Spettro_17,-1.200,-0.072,0.060
Spettro_18,-3.703,-0.187,0.050
Spettro_19,0.729,0.041,0.056
Spettro_20,0.315,0.022,0.070
