,SNR,Signal,Noise
Spettro_1,-1.378,-0.124,0.090
Spettro_2,-0.486,-0.053,0.109
Spettro_3,2.101,0.243,0.116
Spettro_4,-0.660,-0.076,0.115
Spettro_5,2.823,0.294,0.104
Spettro_6,19.988,1.947,0.097
Spettro_7,51.464,8.331,0.162
Spettro_8,24.580,3.179,0.129
Spettro_9,7.796,0.872,0.112
Spettro_10,3.762,0.471,0.125
Spettro_11,1.972,0.221,0.112
Spettro_12,1.395,0.193,0.138
Spettro_13,1.022,0.129,0.126
Spettro_14,0.316,0.040,0.126
Spettro_15,1.280,0.120,0.094
Spettro_16,-1.971,-0.230,0.116
Spettro_17,1.947,0.271,0.139
Spettro_18,-0.350,-0.036,0.102
Spettro_19,-0.382,-0.052,0.135
Spettro_20,-0.012,-0.001,0.090
