,SNR,Signal,Noise
Spettro_1,18.500,0.391,0.021
Spettro_2,14.650,0.362,0.025
Spettro_3,49.129,0.995,0.020
Spettro_4,145.303,3.783,0.026
Spettro_5,371.090,8.659,0.023
Spettro_6,2219.721,39.205,0.018
Spettro_7,1963.656,51.305,0.026
Spettro_8,551.031,20.447,0.037
Spettro_9,692.755,19.148,0.028
Spettro_10,310.939,10.936,0.035
Spettro_11,1026.522,26.929,0.026
Spettro_12,4024.709,111.821,0.028
Spettro_13,2216.153,82.509,0.037
Spettro_14,1249.925,23.797,0.019
Spettro_15,269.104,5.983,0.022
Spettro_16,84.154,2.204,0.026
Spettro_17,30.321,0.460,0.015
Spettro_18,12.988,0.228,0.018
Spettro_19,10.419,0.166,0.016
Spettro_20,17.737,0.230,0.013
