,SNR,Signal,Noise
Spettro_1,1.505,0.042,0.028
Spettro_2,5.300,0.168,0.032
Spettro_3,1.994,0.063,0.031
Spettro_4,13.529,0.395,0.029
Spettro_5,46.326,1.607,0.035
Spettro_6,193.796,9.182,0.047
Spettro_7,559.309,45.502,0.081
Spettro_8,121.810,7.206,0.059
Spettro_9,132.123,8.563,0.065
Spettro_10,68.664,3.692,0.054
Spettro_11,167.933,6.909,0.041
Spettro_12,501.991,37.834,0.075
Spettro_13,611.204,54.142,0.089
Spettro_14,263.486,16.889,0.064
Spettro_15,81.151,2.941,0.036
Spettro_16,31.297,1.076,0.034
Spettro_17,9.816,0.233,0.024
Spettro_18,3.190,0.103,0.032
Spettro_19,-0.120,-0.004,0.031
Spettro_20,0.997,0.029,0.029
