,SNR,Signal,Noise
Spettro_1,2.343,0.055,0.023
Spettro_2,2.759,0.062,0.022
Spettro_3,3.611,0.093,0.026
Spettro_4,8.412,0.281,0.033
Spettro_5,18.836,0.687,0.036
Spettro_6,55.451,2.023,0.036
Spettro_7,48.853,2.081,0.043
Spettro_8,21.034,1.052,0.050
Spettro_9,33.889,0.899,0.027
Spettro_10,21.504,0.858,0.040
Spettro_11,28.535,1.247,0.044
Spettro_12,58.063,2.936,0.051
Spettro_13,42.721,2.641,0.062
Spettro_14,40.407,1.178,0.029
Spettro_15,12.854,0.372,0.029
Spettro_16,5.295,0.129,0.024
Spettro_17,-0.178,-0.006,0.034
Spettro_18,-1.115,-0.023,0.021
Spettro_19,-0.595,-0.013,0.022
Spettro_20,1.819,0.036,0.020
