,SNR,Signal,Noise
Spettro_1,33.612,0.900,0.027
Spettro_2,31.469,0.913,0.029
Spettro_3,81.803,2.250,0.028
Spettro_4,99.018,3.131,0.032
Spettro_5,227.052,5.248,0.023
Spettro_6,161.458,5.049,0.031
Spettro_7,63.151,2.656,0.042
Spettro_8,53.633,1.683,0.031
Spettro_9,23.582,1.219,0.052
Spettro_10,21.773,2.023,0.093
Spettro_11,34.197,2.019,0.059
Spettro_12,133.309,15.745,0.118
Spettro_13,99.839,4.197,0.042
Spettro_14,5.760,0.267,0.046
Spettro_15,3.422,0.144,0.042
Spettro_16,3.556,0.173,0.049
Spettro_17,1.227,0.041,0.034
Spettro_18,2.372,0.058,0.024
Spettro_19,1.373,0.054,0.039
Spettro_20,7.598,0.166,0.022
