Name,Flux,Error flux
Hgamma,0.10773741315535178,0.0575258601294535
Hbeta,0.21476281608884118,0.05327814673162902
Halpha,0.622837401449782,0.04282477955169818
[SII]6716,0.3781593112835109,0.025940574277945237
[SII]6731,0.2501827865709134,0.03205807129282281
HeII4687,0.07496698818483767,0.029447546832302846
HeI5876,0.06731459889178248,0.019083714935404332
[OIII]5007_d,0.23894715264513613,0.08590988677147908
[OI]6300_d,0.05274487186529499,0.040463759397634996
[NII]6583_d,0.46668926445544917,0.034666329248618226
