,SNR,Signal,Noise
Spettro_1,0.729,0.044,0.061
Spettro_2,0.016,0.001,0.045
Spettro_3,-0.531,-0.033,0.063
Spettro_4,-0.558,-0.032,0.056
Spettro_5,4.025,0.242,0.060
Spettro_6,62.328,5.453,0.087
Spettro_7,367.772,25.152,0.068
Spettro_8,192.063,13.137,0.068
Spettro_9,43.179,3.919,0.091
Spettro_10,20.288,1.695,0.084
Spettro_11,10.540,0.713,0.068
Spettro_12,13.847,0.885,0.064
Spettro_13,4.701,0.349,0.074
Spettro_14,0.360,0.020,0.057
Spettro_15,-2.269,-0.141,0.062
Spettro_16,0.373,0.021,0.056
Spettro_17,-0.239,-0.014,0.060
Spettro_18,0.155,0.008,0.050
Spettro_19,0.501,0.028,0.056
Spettro_20,-0.685,-0.048,0.070
