,SNR,Signal,Noise
Spettro_1,0.306,0.036,0.118
Spettro_2,-0.445,-0.068,0.152
Spettro_3,-0.201,-0.024,0.120
Spettro_4,-0.777,-0.086,0.111
Spettro_5,-1.161,-0.105,0.091
Spettro_6,12.414,1.651,0.133
Spettro_7,31.677,5.771,0.182
Spettro_8,23.529,2.920,0.124
Spettro_9,1.805,0.224,0.124
Spettro_10,-2.222,-0.395,0.178
Spettro_11,-2.336,-0.407,0.174
Spettro_12,-3.206,-0.352,0.110
Spettro_13,-0.583,-0.074,0.127
Spettro_14,-1.899,-0.187,0.098
Spettro_15,1.845,0.184,0.100
Spettro_16,-2.043,-0.236,0.116
Spettro_17,1.017,0.113,0.111
Spettro_18,-2.362,-0.244,0.103
Spettro_19,1.198,0.181,0.151
Spettro_20,-0.332,-0.030,0.091
