Name,Flux,Error_flux
Hgamma,0.15127160523674693,0.7681649816788712
Hbeta,0.21302544231626064,0.6258733639740975
Halpha,0.0,0.239137461164785
[SII]6716,0.0,0.055538827233807556
[SII]6731,0.1865015936717287,0.10408234685449716
HeII4687,0.0,0.12473767467342273
HeI5876,0.0,0.05234354391954891
[OIII]4959,0.06995914156145994,0.1460999779543297
[OIII]5007,0.2098774246843798,0.1460999779543297
[OI]6300,0.0,0.050336179145969245
[OI]6364,0.0,0.050336179145969245
[NII]6548,0.0,0.05061092228918883
[NII]6583,0.0,0.05061092228918883
