,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,9.488,0.435,0.046
Spettro_4,21.049,0.842,0.040
Spettro_5,26.324,1.751,0.067
Spettro_6,108.997,5.521,0.051
Spettro_7,188.030,22.468,0.119
Spettro_8,93.022,234.649,2.523
Spettro_9,65.574,162.482,2.478
Spettro_10,199.387,84.040,0.421
Spettro_11,440.487,62.019,0.141
Spettro_12,360.077,79.084,0.220
Spettro_13,130.605,17.546,0.134
Spettro_14,146.342,3.331,0.023
Spettro_15,21.287,0.850,0.040
Spettro_16,7.735,0.279,0.036
Spettro_17,,,
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
