,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,-0.103,-0.015,0.149
Spettro_4,0.452,0.053,0.117
Spettro_5,6.738,0.584,0.087
Spettro_6,16.522,1.665,0.101
Spettro_7,35.011,5.747,0.164
Spettro_8,36.467,44.986,1.234
Spettro_9,35.188,36.531,1.038
Spettro_10,94.392,15.823,0.168
Spettro_11,75.214,11.045,0.147
Spettro_12,92.469,15.786,0.171
Spettro_13,71.417,6.033,0.084
Spettro_14,12.334,1.444,0.117
Spettro_15,3.157,0.308,0.097
Spettro_16,1.826,0.176,0.096
Spettro_17,,,
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
