,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,0.151,0.015,0.097
Spettro_4,2.811,0.233,0.083
Spettro_5,4.499,0.307,0.068
Spettro_6,11.270,1.390,0.123
Spettro_7,37.458,3.277,0.087
Spettro_8,32.031,24.774,0.773
Spettro_9,15.201,21.446,1.411
Spettro_10,86.344,11.765,0.136
Spettro_11,71.688,9.884,0.138
Spettro_12,82.599,12.682,0.154
Spettro_13,71.459,7.168,0.100
Spettro_14,20.869,2.058,0.099
Spettro_15,6.223,0.447,0.072
Spettro_16,3.483,0.384,0.110
Spettro_17,,,
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
