,SNR,Signal,Noise
Spettro_1,48.301,2.827,0.059
Spettro_2,17.095,1.072,0.063
Spettro_3,54.682,3.567,0.065
Spettro_4,95.351,6.852,0.072
Spettro_5,183.084,17.327,0.095
Spettro_6,567.571,32.640,0.058
Spettro_7,1102.574,107.750,0.098
Spettro_8,3050.605,374.587,0.123
Spettro_9,1512.810,112.904,0.075
Spettro_10,601.427,57.287,0.095
Spettro_11,266.945,24.233,0.091
Spettro_12,121.440,13.072,0.108
Spettro_13,214.400,14.167,0.066
Spettro_14,267.188,15.598,0.058
Spettro_15,271.144,18.285,0.067
Spettro_16,977.575,42.882,0.044
Spettro_17,416.317,46.263,0.111
Spettro_18,326.273,16.409,0.050
Spettro_19,70.851,5.312,0.075
Spettro_20,28.153,1.499,0.053
