,SNR,Signal,Noise
Spettro_1,3.710,0.477,0.128
Spettro_2,0.937,0.133,0.142
Spettro_3,8.691,0.863,0.099
Spettro_4,20.577,1.778,0.086
Spettro_5,47.301,4.832,0.102
Spettro_6,63.414,9.006,0.142
Spettro_7,270.803,35.117,0.130
Spettro_8,427.816,174.467,0.408
Spettro_9,233.940,29.777,0.127
Spettro_10,29.887,8.875,0.297
Spettro_11,25.431,4.691,0.184
Spettro_12,15.850,2.344,0.148
Spettro_13,24.891,3.066,0.123
Spettro_14,29.106,3.055,0.105
Spettro_15,35.308,4.353,0.123
Spettro_16,76.160,9.030,0.119
Spettro_17,98.293,10.297,0.105
Spettro_18,30.694,3.209,0.105
Spettro_19,10.884,1.098,0.101
Spettro_20,0.730,0.094,0.129
