,SNR,Signal,Noise
Spettro_1,1.913,0.228,0.119
Spettro_2,4.422,0.341,0.077
Spettro_3,0.576,0.070,0.122
Spettro_4,6.279,0.679,0.108
Spettro_5,17.048,1.627,0.095
Spettro_6,16.472,2.651,0.161
Spettro_7,74.019,9.824,0.133
Spettro_8,114.397,58.863,0.515
Spettro_9,59.772,10.571,0.177
Spettro_10,22.965,5.101,0.222
Spettro_11,13.386,2.456,0.183
Spettro_12,8.210,1.040,0.127
Spettro_13,7.553,0.915,0.121
Spettro_14,7.280,0.909,0.125
Spettro_15,9.014,0.995,0.110
Spettro_16,17.628,2.468,0.140
Spettro_17,29.150,2.846,0.098
Spettro_18,4.850,0.520,0.107
Spettro_19,2.714,0.272,0.100
Spettro_20,-0.634,-0.060,0.095
