,SNR,Signal,Noise
Spettro_1,12.135,0.487,0.040
Spettro_2,4.090,0.243,0.060
Spettro_3,11.955,0.595,0.050
Spettro_4,15.454,1.166,0.075
Spettro_5,29.098,2.526,0.087
Spettro_6,77.320,4.352,0.056
Spettro_7,134.113,11.532,0.086
Spettro_8,278.606,36.389,0.131
Spettro_9,120.052,12.315,0.103
Spettro_10,74.049,7.924,0.107
Spettro_11,37.343,3.808,0.102
Spettro_12,35.009,2.279,0.065
Spettro_13,22.416,2.131,0.095
Spettro_14,22.471,2.173,0.097
Spettro_15,32.394,1.955,0.060
Spettro_16,68.094,4.104,0.060
Spettro_17,44.175,3.784,0.086
Spettro_18,25.337,1.736,0.069
Spettro_19,9.593,0.752,0.078
Spettro_20,6.228,0.306,0.049
