,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,13.692,0.136,0.010
Spettro_3,40.518,0.612,0.015
Spettro_4,129.879,1.687,0.013
Spettro_5,489.058,6.690,0.014
Spettro_6,451.096,18.259,0.040
Spettro_7,337.242,6.848,0.020
Spettro_8,146.315,2.384,0.016
Spettro_9,170.659,3.000,0.018
Spettro_10,490.580,15.466,0.032
Spettro_11,334.819,12.002,0.036
Spettro_12,111.125,3.547,0.032
Spettro_13,132.758,2.136,0.016
Spettro_14,243.351,4.564,0.019
Spettro_15,247.923,5.234,0.021
Spettro_16,21.850,0.418,0.019
Spettro_17,12.825,0.167,0.013
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
