,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,3.513,0.035,0.010
Spettro_3,7.537,0.109,0.014
Spettro_4,22.732,0.336,0.015
Spettro_5,60.738,1.726,0.028
Spettro_6,70.641,5.130,0.073
Spettro_7,167.495,3.129,0.019
Spettro_8,33.305,0.780,0.023
Spettro_9,22.562,0.636,0.028
Spettro_10,45.479,3.288,0.072
Spettro_11,51.306,3.274,0.064
Spettro_12,21.267,1.112,0.052
Spettro_13,6.420,0.394,0.061
Spettro_14,11.328,0.330,0.029
Spettro_15,61.593,2.109,0.034
Spettro_16,6.739,0.190,0.028
Spettro_17,-0.308,-0.005,0.017
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
