,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,3.337,0.030,0.009
Spettro_3,9.339,0.141,0.015
Spettro_4,36.210,0.429,0.012
Spettro_5,131.174,1.794,0.014
Spettro_6,102.563,4.151,0.040
Spettro_7,105.136,2.135,0.020
Spettro_8,59.690,0.973,0.016
Spettro_9,77.999,1.371,0.018
Spettro_10,208.723,7.208,0.035
Spettro_11,109.145,4.286,0.039
Spettro_12,41.779,1.334,0.032
Spettro_13,53.470,0.942,0.018
Spettro_14,85.659,1.466,0.017
Spettro_15,73.771,1.557,0.021
Spettro_16,10.814,0.226,0.021
Spettro_17,5.389,0.070,0.013
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
