,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,0.220,0.003,0.015
Spettro_3,1.652,0.028,0.017
Spettro_4,3.937,0.079,0.020
Spettro_5,22.737,0.564,0.025
Spettro_6,32.255,2.062,0.064
Spettro_7,21.000,0.994,0.047
Spettro_8,5.027,0.168,0.034
Spettro_9,3.352,0.107,0.032
Spettro_10,3.942,0.337,0.085
Spettro_11,1.841,0.176,0.096
Spettro_12,4.179,0.197,0.047
Spettro_13,1.432,0.077,0.054
Spettro_14,3.054,0.109,0.036
Spettro_15,14.654,0.412,0.028
Spettro_16,-0.231,-0.005,0.022
Spettro_17,2.844,0.055,0.019
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
