,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,1.939,0.033,0.017
Spettro_3,6.329,0.115,0.018
Spettro_4,15.320,0.279,0.018
Spettro_5,31.563,0.968,0.031
Spettro_6,60.996,1.907,0.031
Spettro_7,53.596,0.958,0.018
Spettro_8,20.363,0.457,0.022
Spettro_9,26.190,0.571,0.022
Spettro_10,45.527,2.510,0.055
Spettro_11,41.336,1.352,0.033
Spettro_12,15.688,0.576,0.037
Spettro_13,16.847,0.453,0.027
Spettro_14,32.658,0.589,0.018
Spettro_15,34.464,0.669,0.019
Spettro_16,7.765,0.131,0.017
Spettro_17,5.764,0.077,0.013
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
