Line,Flux,Error flux
Hgamma,0.05955670957014248,0.01672912411339362
Hbeta,0.05345471410872099,0.01643097276931567
Halpha,0.09700515379982566,0.014159305135152438
[SII]6716,0.028751358111793027,0.019493007197143086
[SII]6731,0.0,0.016305386082303978
HeII4687,0.01870121373129429,0.020918051011988844
HeI5876,0.0035861005748077535,0.008701061138902365
[OIII]5007_d,0.03960516486505061,0.0329798880630913
[OI]6300_d,0.004253608422503257,0.017826878470225405
[NII]6583_d,0.06118666701273622,0.025925914958029667
