,SNR,Signal,Noise
Spettro_1,17.458,0.343,0.020
Spettro_2,42.984,1.117,0.026
Spettro_3,44.564,1.387,0.031
Spettro_4,53.606,1.923,0.036
Spettro_5,94.764,3.087,0.033
Spettro_6,234.435,5.129,0.022
Spettro_7,530.551,12.284,0.023
Spettro_8,407.735,26.310,0.065
Spettro_9,231.214,31.375,0.136
Spettro_10,756.157,83.608,0.111
Spettro_11,2048.600,188.965,0.092
Spettro_12,1530.382,174.319,0.114
Spettro_13,3925.417,247.619,0.063
Spettro_14,2048.232,68.546,0.033
Spettro_15,328.683,15.474,0.047
Spettro_16,159.998,4.910,0.031
Spettro_17,34.694,1.272,0.037
Spettro_18,24.989,0.597,0.024
Spettro_19,19.294,0.455,0.024
Spettro_20,12.434,0.365,0.029
