,SNR,Signal,Noise
Spettro_1,1.918,0.077,0.040
Spettro_2,5.072,0.271,0.053
Spettro_3,8.296,0.358,0.043
Spettro_4,10.465,0.451,0.043
Spettro_5,10.530,0.653,0.062
Spettro_6,29.928,1.409,0.047
Spettro_7,40.633,3.471,0.085
Spettro_8,46.616,6.224,0.134
Spettro_9,18.221,5.839,0.320
Spettro_10,71.342,24.928,0.349
Spettro_11,300.600,51.872,0.173
Spettro_12,188.137,67.038,0.356
Spettro_13,581.550,64.186,0.110
Spettro_14,227.866,19.201,0.084
Spettro_15,87.308,4.497,0.052
Spettro_16,37.239,1.442,0.039
Spettro_17,10.711,0.457,0.043
Spettro_18,3.355,0.146,0.044
Spettro_19,3.950,0.148,0.038
Spettro_20,1.100,0.034,0.031
