,SNR,Signal,Noise
Spettro_1,4.152,0.163,0.039
Spettro_2,6.287,0.268,0.043
Spettro_3,12.355,0.431,0.035
Spettro_4,11.960,0.569,0.048
Spettro_5,19.096,0.743,0.039
Spettro_6,28.982,1.191,0.041
Spettro_7,63.950,2.638,0.041
Spettro_8,49.165,4.779,0.097
Spettro_9,35.881,6.580,0.183
Spettro_10,113.064,16.083,0.142
Spettro_11,230.381,25.532,0.111
Spettro_12,146.718,22.405,0.153
Spettro_13,512.261,39.016,0.076
Spettro_14,261.076,12.273,0.047
Spettro_15,66.515,2.886,0.043
Spettro_16,26.606,1.008,0.038
Spettro_17,7.444,0.334,0.045
Spettro_18,4.560,0.178,0.039
Spettro_19,1.416,0.058,0.041
Spettro_20,1.596,0.053,0.033
