,SNR,Signal,Noise
Spettro_1,5.644,0.185,0.033
Spettro_2,5.991,0.282,0.047
Spettro_3,6.816,0.344,0.050
Spettro_4,9.312,0.437,0.047
Spettro_5,17.739,0.810,0.046
Spettro_6,42.421,2.246,0.053
Spettro_7,79.252,5.315,0.067
Spettro_8,113.911,12.290,0.108
Spettro_9,71.731,18.002,0.251
Spettro_10,152.286,46.224,0.304
Spettro_11,484.884,118.451,0.244
Spettro_12,506.684,141.431,0.279
Spettro_13,348.444,105.138,0.302
Spettro_14,187.683,23.339,0.124
Spettro_15,62.900,4.145,0.066
Spettro_16,28.719,1.155,0.040
Spettro_17,13.836,0.445,0.032
Spettro_18,7.522,0.242,0.032
Spettro_19,9.289,0.281,0.030
Spettro_20,4.353,0.160,0.037
